top - 11:13:40 up 30 min,  1 user,  load average: 1.91, 0.98, 0.40
Threads:  90 total,   3 running,  86 sleeping,   0 stopped,   1 zombie
%Cpu(s): 51.0 us,  3.9 sy,  0.0 ni, 43.1 id,  0.0 wa,  0.0 hi,  2.0 si,  0.0 st 
MiB Mem :   7943.1 total,     72.2 free,   6208.5 used,   1822.1 buff/cache     
MiB Swap:   2048.0 total,   2047.7 free,      0.3 used.   1734.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1029 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:42.21 llama-s+
   1031 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.00 llama-s+
   1032 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.00 llama-s+
   1033 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.00 llama-s+
   1034 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.01 llama-s+
   1035 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.01 llama-s+
   1036 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.02 llama-s+
   1037 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.01 llama-s+
   1038 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.01 llama-s+
   1039 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:42.26 llama-s+
   1040 ollama    20   0 1226388 471160  13984 S   0.0   5.8   0:00.00 llama-s+
   1061 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.00 llama-s+
   1062 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.00 llama-s+
   1063 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.02 llama-s+
   1064 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.00 llama-s+
   1065 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.17 llama-s+
   1066 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.01 llama-s+
   1067 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.01 llama-s+
   1068 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.07 llama-s+
   1073 ollama    20   0 6022776   4.9g  14360 S   0.0  63.3   0:00.04 llama-s+
